Раздел,Страница,Описание,HTTP метод,ULR,Комментарий
Оплата,Ввод карты,Ввод номера банковской карты,GET POST,payment/details
Оплата,Ввод случайной карты,Генерация случайного номера карты,GET POST,payment/randomdetails
Оплата,Прохождение оплаты,Индикация процесса прохождения оплаты,GET,payment/progress
